Ticker,Outstanding_Shares,Price
BWAC,7700186,10.74
PPHP,7510969,10.94
EGLX,154490566,0.53
QUBT,60947761,1.34
DKDCA,7570764,10.74
TESS,9249715,8.77
CBAT,88989011,0.91
GMGI,35621145,2.27
FNGR,46182857,1.75
SPRB,39743842,2.03
BKSC,5576177,14.44
VWE,62170543,1.29
VBFC,1485900,53.90
ASPA,7461754,10.72
MYNZ,14424955,5.53
CULL,7362963,10.80
OCAX,7653179,10.38
STRT,4005043,19.83
UPXI,17961538,4.42
GDST,7596357,10.43
FRBK,63862903,1.24
QUIK,13454082,5.88
ETAO,101397436,0.78
SOTK,15997967,4.92
SGII,7643343,10.29
PXLW,55716312,1.41
CLGN,11185980,6.99
SCTL,85835165,0.91
UIHC,43277778,1.80
MCAF,7557282,10.30
USAP,9045508,8.57
AEYE,11568657,6.70
CIDM,176045455,0.44
PLTN,7518049,10.25
WFCF,5803922,13.26
CLNN,78142857,0.98
VSTM,196230769,0.39
SND,45831325,1.66
HYFM,45255952,1.68
SWSS,7432485,10.22
KRON,57409091,1.32
CSBR,13656420,5.53
CETU,7439842,10.14
UBCP,5845736,12.90
SOHO,38610256,1.95
ENOB,57884615,1.30
YJ,214685714,0.35
ALOR,7223837,10.32
SMSI,58677165,1.27
BPTS,20397260,3.65
CELL,68870370,1.08
STRC,154916667,0.48
ANEB,25114865,2.96
BYFC,72784314,1.02
HKIT,14264479,5.18
PFX,2064282,35.78
BRAG,21394203,3.45
LEE,6045119,12.19
AQU,7117874,10.35
MVLA,52134752,1.41
KTCC,10683673,6.86
NEOV,32411504,2.26
REKR,64628319,1.13
HPLT,7265672,10.05
ONCY,63121739,1.15
PBAX,6750700,10.71
ELBM,34740385,2.08
IMUX,44401235,1.62
RZLT,37794737,1.90
RGTI,130400000,0.55
GP,25062937,2.86
ARBK,47151316,1.52
JOAN,41847953,1.71
KXIN,198166667,0.36
AQST,55687500,1.28
PHUN,104779412,0.68
QOMO,6935735,10.27
INKT,34906863,2.04
TAYD,3530258,20.16
VIRC,16360920,4.35
HVBC,2247785,31.60
CYT,35648241,1.99
CIZN,5607143,12.60
FORL,6889756,10.25
INSG,108138462,0.65
TCBC,5089855,13.80
VCIG,35811224,1.96
TETE,6533645,10.70
CVV,6719536,10.34
YQ,50318841,1.38
DAVE,11871355,5.83
MGYR,6742690,10.26
MLYS,5059254,13.67
OXUS,6562203,10.53
FXCO,6517925,10.60
SOLO,118896552,0.58
CMLS,18007853,3.82
ATER,81880952,0.84
CLSD,61918919,1.11
TRON,6484820,10.54
AIRT,2773984,24.60
AXDX,99632353,0.68
HUIZ,51838462,1.30
AUGX,37853933,1.78
IMNM,12371324,5.44
LYRA,32601942,2.06
OAKU,6545898,10.24
FHLT,6591133,10.15
CSPI,4812230,13.90
MMMB,36513661,1.83
OTMO,141106383,0.47
HUGE,40396341,1.64
CRDF,44675676,1.48
GEG,30597222,2.16
IPA,25712062,2.57
EMBK,23931159,2.76
ACBA,6054128,10.90
BLRX,61532710,1.07
BVS,61373832,1.07
DBTX,24825758,2.64
MURF,6247610,10.46
GRNA,159000000,0.41
ULBI,16173697,4.03
STCN,60785047,1.07
PXS,10763245,6.04
HHS,7575758,8.58
GAIA,21304918,3.05
SURG,13743100,4.71
NHTC,11708333,5.52
FEIM,9259684,6.97
EDTX,6024299,10.70
GAN,43140940,1.49
JZ,61721154,1.04
ENSC,15025761,4.27
BBIG,246115385,0.26
TCRR,39245399,1.63
AAOI,28923077,2.21
CPTN,155658537,0.41
LUCD,43101351,1.48
ARKR,3552147,17.93
VIOT,69206522,0.92
NA,55745614,1.14
GECC,7629808,8.32
OLIT,6139922,10.22
CNTB,55043860,1.14
CSSE,27663717,2.26
SIEB,32479167,1.92
FARM,19764331,3.14
